Feature,Gain,Cover,Frequency
PETAL.LENGTH,0.79796524405543,0.581067111190245,0.523809523809524
SEPAL.LENGTH,0.146635447791191,0.217870650462401,0.238095238095238
PETAL.WIDTH,0.041635284839898,0.0559085541099956,0.0952380952380952
SEPAL.WIDTH,0.0137640233134813,0.145153684237359,0.142857142857143
